Product Key;Order Date;Due Date;Ship Date;Customer Key;Sales Amount
214;20211228;20220109;20220104;16313;34,99
214;20211228;20220109;20220104;12132;34,99
214;20211229;20220110;20220105;12390;34,99
214;20211229;20220110;20220105;11241;34,99
214;20211230;20220111;20220106;11338;34,99
214;20211230;20220111;20220106;24604;34,99
214;20211231;20220112;20220107;11615;34,99
214;20211231;20220112;20220107;28204;34,99
214;20211231;20220112;20220107;11061;34,99
214;20211231;20220112;20220107;25625;34,99
214;20220101;20220113;20220108;18544;34,99
214;20220101;20220113;20220108;11433;34,99
214;20220102;20220114;20220109;11456;34,99
214;20220105;20220117;20220112;15553;34,99
214;20220109;20220121;20220116;18205;34,99
214;20220109;20220121;20220116;18209;34,99
214;20220109;20220121;20220116;14047;34,99
214;20220110;20220122;20220117;16394;34,99
214;20220110;20220122;20220117;28672;34,99
214;20220110;20220122;20220117;21465;34,99
214;20220110;20220122;20220117;21469;34,99
214;20220111;20220123;20220118;18214;34,99
214;20220112;20220124;20220119;18217;34,99
214;20220112;20220124;20220119;11243;34,99
214;20220112;20220124;20220119;16218;34,99
214;20220112;20220124;20220119;21488;34,99
214;20220113;20220125;20220120;25088;34,99
214;20220113;20220125;20220120;14198;34,99
214;20220117;20220129;20220124;19475;34,99
214;20220117;20220129;20220124;22273;34,99
214;20220119;20220131;20220126;22808;34,99
214;20220119;20220131;20220126;28201;34,99
214;20220120;20220201;20220127;21858;34,99
214;20220120;20220201;20220127;11387;34,99
214;20220120;20220201;20220127;19271;34,99
214;20220121;20220202;20220128;19240;34,99
214;20220122;20220203;20220129;11271;34,99
214;20220122;20220203;20220129;11004;34,99
214;20220122;20220203;20220129;11439;34,99
214;20220123;20220204;20220130;22441;34,99
214;20220124;20220205;20220131;21857;34,99
214;20220125;20220206;20220201;11339;34,99
214;20220125;20220206;20220201;29137;34,99
214;20220127;20220208;20220203;11290;34,99
214;20220127;20220208;20220203;11224;34,99
214;20220127;20220208;20220203;12281;34,99
214;20220127;20220208;20220203;14181;34,99
214;20220128;20220209;20220204;11409;34,99
214;20220128;20220209;20220204;29079;34,99
214;20220128;20220209;20220204;16982;34,99
214;20220128;20220209;20220204;16392;34,99
214;20220129;20220210;20220205;14557;34,99
214;20220129;20220210;20220205;15766;34,99
214;20220129;20220210;20220205;11287;34,99
214;20220129;20220210;20220205;17374;34,99
214;20220129;20220210;20220205;16041;34,99
214;20220129;20220210;20220205;13582;34,99
214;20220129;20220210;20220205;12061;34,99
214;20220130;20220211;20220206;16609;34,99
214;20220130;20220211;20220206;13574;34,99
214;20220130;20220211;20220206;12053;34,99
214;20220130;20220211;20220206;22282;34,99
214;20220131;20220212;20220207;27981;34,99
214;20220131;20220212;20220207;26132;34,99
214;20220201;20220213;20220208;25439;34,99
214;20220201;20220213;20220208;14561;34,99
214;20220202;20220214;20220209;18272;34,99
214;20220202;20220214;20220209;12742;34,99
214;20220202;20220214;20220209;11496;34,99
214;20220202;20220214;20220209;11277;34,99
214;20220202;20220214;20220209;27968;34,99
214;20220202;20220214;20220209;26852;34,99
214;20220202;20220214;20220209;12708;34,99
214;20220202;20220214;20220209;28720;34,99
214;20220203;20220215;20220210;11978;34,99
214;20220203;20220215;20220210;16617;34,99
214;20220203;20220215;20220210;23729;34,99
214;20220203;20220215;20220210;16814;34,99
214;20220203;20220215;20220210;15257;34,99
214;20220203;20220215;20220210;21339;34,99
214;20220203;20220215;20220210;15278;34,99
214;20220203;20220215;20220210;12502;34,99
214;20220204;20220216;20220211;11410;34,99
214;20220204;20220216;20220211;11483;34,99
214;20220204;20220216;20220211;17078;34,99
214;20220204;20220216;20220211;13998;34,99
214;20220204;20220216;20220211;29014;34,99
214;20220204;20220216;20220211;26573;34,99
214;20220204;20220216;20220211;23050;34,99
214;20220204;20220216;20220211;23235;34,99
214;20220204;20220216;20220211;26233;34,99
214;20220204;20220216;20220211;24522;34,99
214;20220205;20220217;20220212;11494;34,99
214;20220205;20220217;20220212;14951;34,99
214;20220205;20220217;20220212;26807;34,99
214;20220205;20220217;20220212;11216;34,99
214;20220205;20220217;20220212;24669;34,99
214;20220206;20220218;20220213;29040;34,99
214;20220206;20220218;20220213;26272;34,99
214;20220206;20220218;20220213;23824;34,99
214;20220206;20220218;20220213;23679;34,99
214;20220206;20220218;20220213;14512;34,99
214;20220206;20220218;20220213;19443;34,99
214;20220207;20220219;20220214;19954;34,99
214;20220207;20220219;20220214;16584;34,99
214;20220207;20220219;20220214;11666;34,99
214;20220207;20220219;20220214;20159;34,99
214;20220207;20220219;20220214;23750;34,99
214;20220207;20220219;20220214;25612;34,99
214;20220208;20220220;20220215;11250;34,99
214;20220208;20220220;20220215;11307;34,99
214;20220208;20220220;20220215;19531;34,99
214;20220209;20220221;20220216;11276;34,99
214;20220209;20220221;20220216;19455;34,99
214;20220209;20220221;20220216;13095;34,99
214;20220209;20220221;20220216;15469;34,99
214;20220209;20220221;20220216;15330;34,99
214;20220209;20220221;20220216;11618;34,99
214;20220210;20220222;20220217;17786;34,99
214;20220210;20220222;20220217;19766;34,99
214;20220210;20220222;20220217;14940;34,99
214;20220211;20220223;20220218;21254;34,99
214;20220211;20220223;20220218;16568;34,99
214;20220211;20220223;20220218;16958;34,99
214;20220212;20220224;20220219;24777;34,99
214;20220212;20220224;20220219;12919;34,99
214;20220212;20220224;20220219;16454;34,99
214;20220212;20220224;20220219;20940;34,99
214;20220212;20220224;20220219;28450;34,99
214;20220212;20220224;20220219;14339;34,99
214;20220212;20220224;20220219;25743;34,99
214;20220212;20220224;20220219;27821;34,99
214;20220213;20220225;20220220;25719;34,99
214;20220213;20220225;20220220;14011;34,99
214;20220214;20220226;20220221;25815;34,99
214;20220214;20220226;20220221;17583;34,99
214;20220214;20220226;20220221;11665;34,99
214;20220214;20220226;20220221;20154;34,99
214;20220214;20220226;20220221;26317;34,99
214;20220214;20220226;20220221;21050;34,99
214;20220214;20220226;20220221;21031;34,99
214;20220215;20220227;20220222;11078;34,99
214;20220215;20220227;20220222;18751;34,99
214;20220215;20220227;20220222;16877;34,99
214;20220215;20220227;20220222;24083;34,99
214;20220216;20220228;20220223;18296;34,99
214;20220216;20220228;20220223;11998;34,99
214;20220216;20220228;20220223;17016;34,99
214;20220216;20220228;20220223;22097;34,99
214;20220216;20220228;20220223;16812;34,99
214;20220216;20220228;20220223;22646;34,99
214;20220216;20220228;20220223;25615;34,99
214;20220217;20220301;20220224;14518;34,99
214;20220217;20220301;20220224;24429;34,99
214;20220217;20220301;20220224;11884;34,99
214;20220217;20220301;20220224;20210;34,99
214;20220217;20220301;20220224;13862;34,99
214;20220217;20220301;20220224;25640;34,99
214;20220218;20220302;20220225;16936;34,99
214;20220218;20220302;20220225;11832;34,99
214;20220219;20220303;20220226;12183;34,99
214;20220219;20220303;20220226;14782;34,99
214;20220219;20220303;20220226;23937;34,99
214;20220219;20220303;20220226;12793;34,99
214;20220219;20220303;20220226;14939;34,99
214;20220220;20220304;20220227;17070;34,99
214;20220220;20220304;20220227;15526;34,99
214;20220220;20220304;20220227;11277;34,99
214;20220220;20220304;20220227;15498;34,99
214;20220220;20220304;20220227;20199;34,99
214;20220220;20220304;20220227;11326;34,99
214;20220220;20220304;20220227;28309;34,99
214;20220220;20220304;20220227;26743;34,99
214;20220220;20220304;20220227;22112;34,99
214;20220221;20220305;20220228;11185;34,99
214;20220221;20220305;20220228;15974;34,99
214;20220221;20220305;20220228;13696;34,99
